"TIPO DE INVESTIMENTO";"DESCRIÇÃO";"VENCIMENTO";"TAXA NEGOCIADA";"QUANTIDADE";"VALOR APLICADO";"VALOR BRUTO";"VALOR LÍQUIDO"
"CDB";"BANCO 1";31/07/2020;"124% do CDI";4,0;R$4.000,00;R$4.350,94;R$4.289,53
"CDB";"BANCO 3";29/11/2019;"119% do CDI";3,0;R$3.000,00;R$3.420,57;R$3.346,97
"CDB";"BANCO 1";04/08/2025;"126% do CDI";2,0;R$2.000,00;R$2.004,01;R$2.001,15
"CDB";"BANCO 1";23/11/2020;"125% do CDI";3,0;R$3.000,00;R$3.439,70;R$3.362,75
"CDB";"BANCO 2";08/12/2022;"IPC-A + 6,55%";3000,0;R$3.000,00;R$3.565,21;R$3.466,30
"CDB";"BANCO 1";23/11/2020;"125% do CDI";1,0;R$1.000,00;R$1.146,56;R$1.120,91
"LC";"BANCO 4";14/03/2025;"127% do CDI";2,0;R$2.000,00;R$2.066,46;R$2.051,51
"Tesouro Direto";"Tesouro 1";01/03/2023;"SELIC";0,66;R$5.961,82;R$6.806,11;R$6.675,98
"Tesouro Direto";"Tesouro 2";15/08/2024;"IPCA";1,64;R$3.382,71;R$4.589,87;R$4.405,82
"Tesouro Direto";"Tesouro 3";01/01/2025;"PREFIXADO";0,55;R$345,57;R$383,20;R$374,55
"Tesouro Direto";"Tesouro 4";15/05/2035;"IPCA";1,10;R$3.648,25;R$4.616,28;R$4.444,49
"Tesouro Direto";"Tesouro 5";15/05/2035;"IPCA";2,0;R$2.615,30;R$3.636,08;R$3.455,57
"Ações";"ACTI01";;"";20,0;;R$2.571,60;
